"n-1" "n" "frequency"
"the" "word" 766
"like" "this" 766
"after" "a" 766
"as" "an" 763
"think" "of" 762
"i'm" "so" 761
"that" "she" 759
"the" "two" 758
"and" "more" 757
"but" "i'm" 756
"us" "to" 755
"i" "found" 755
"and" "get" 754
"my" "first" 753
"it" "on" 752
"down" "to" 751
"tell" "me" 751
"on" "his" 750
"i" "mean" 750
"you" "in" 749
"day" "of" 748
"how" "many" 746
"and" "other" 746
"to" "try" 745
"as" "they" 745
"of" "people" 743
"the" "show" 743
"can" "i" 743
"of" "an" 742
"under" "the" 741
"that" "a" 741
"you" "could" 740
"or" "a" 740
"many" "of" 739
"than" "a" 738
"to" "tell" 738
"are" "in" 737
"out" "for" 735
"but" "we" 735
"that" "will" 735
"where" "the" 735
"not" "only" 733
"i" "made" 730
"what" "do" 729
"with" "this" 728
"even" "though" 727
"what" "are" 727
"i" "went" 726
"and" "if" 725
"and" "now" 724
"to" "his" 723
"to" "read" 723
"at" "my" 722
"with" "his" 722
"what" "they" 722
"don't" "think" 720
"but" "you" 720
"all" "day" 719
"to" "look" 717
"off" "to" 717
"the" "state" 717
"it's" "the" 717
"had" "the" 716
"you" "just" 716
"due" "to" 716
"so" "we" 715
"needs" "to" 715
"was" "just" 714
"to" "think" 714
"do" "the" 714
"to" "win" 713
"their" "own" 713
"to" "her" 713
"my" "new" 710
"is" "what" 710
"has" "to" 710
"me" "that" 710
"all" "that" 708
"all" "my" 704
"being" "a" 704
"at" "home" 703
"good" "luck" 703
"there's" "a" 702
"and" "she" 702
"for" "his" 701
"what" "we" 700
"she" "said" 696
"to" "share" 694
"where" "i" 694
"in" "fact" 693
"well" "i" 692
"of" "me" 692
"it" "but" 691
"talk" "about" 690
"even" "if" 690
"listen" "to" 689
"me" "the" 689
"tell" "you" 687
"i" "also" 686
"the" "big" 686
"it" "for" 684
"is" "now" 681
"on" "to" 681
"with" "it" 680
"for" "her" 679
"a" "nice" 679
"is" "still" 678
"think" "about" 677
"life" "is" 677
"on" "our" 676
"on" "that" 676
"him" "to" 676
"waiting" "for" 675
"to" "talk" 674
"do" "that" 673
"you" "would" 673
"in" "her" 673
"last" "week" 672
"me" "in" 672
"we" "all" 671
"it" "just" 671
"before" "i" 670
"full" "of" 669
"on" "their" 667
"based" "on" 666
"that" "this" 666
"wait" "for" 665
"they" "will" 665
"people" "are" 665
"i" "said" 665
"and" "what" 664
"talk" "to" 664
"they" "can" 664
"with" "an" 663
"across" "the" 662
"out" "in" 661
"have" "an" 660
"but" "he" 658
"the" "night" 658
"was" "going" 658
"and" "this" 658
"find" "a" 657
"here" "in" 656
"supposed" "to" 656
"i" "knew" 656
"seem" "to" 655
"and" "for" 653
"and" "how" 652
"but" "they" 652
"should" "have" 651
"one" "day" 651
"a" "huge" 650
"to" "follow" 650
"you" "so" 649
"sort" "of" 649
"is" "this" 648
"you" "see" 647
"a" "way" 647
"how" "i" 647
"next" "week" 645
"said" "he" 643
"seems" "to" 643
"side" "of" 643
"if" "he" 641
"the" "middle" 640
"can" "get" 640
"for" "more" 639
"about" "this" 639
"you" "too" 638
"excited" "to" 638
"told" "me" 636
"yes" "i" 636
"that" "there" 636
"is" "also" 635
"could" "have" 635
"rather" "than" 635
"day" "to" 634
"along" "with" 633
"of" "time" 631
"you" "the" 631
"will" "not" 630
"can" "see" 630
"that" "has" 630
"with" "that" 630
"in" "order" 629
"day" "and" 629
"front" "of" 628
"in" "which" 628
"do" "with" 627
"that" "my" 625
"and" "was" 625
"as" "he" 623
"a" "time" 623
"your" "own" 623
"for" "us" 622
"we" "do" 621
"gonna" "be" 620
"are" "going" 618
"chance" "to" 618
"which" "i" 618
"with" "all" 617
"tried" "to" 616
"every" "day" 614
"think" "that" 614
"to" "write" 614
"my" "heart" 613
"to" "eat" 610
"any" "of" 609
"the" "future" 609
"to" "sleep" 607
"what" "it" 607
"why" "i" 607
"because" "it" 606
"the" "kids" 606
"live" "in" 605
"with" "some" 605
"to" "live" 605
"would" "like" 604
"all" "over" 604
"in" "one" 604
"know" "the" 603
"my" "friend" 602
"she" "has" 602
"much" "more" 602
"but" "that" 601
"my" "mind" 601
"the" "back" 601
"out" "on" 600
"not" "have" 599
"it" "with" 599
"make" "me" 599
"because" "the" 598
"the" "more" 596
"out" "with" 595
"back" "and" 595
"in" "all" 594
"said" "that" 593
"i" "say" 593
"here" "is" 592
"to" "stop" 592
"in" "to" 591
"would" "you" 591
"to" "buy" 590
"be" "there" 590
"look" "like" 589
"rt" "i" 587
"now" "that" 586
"know" "if" 586
"my" "head" 586
"in" "love" 586
"or" "not" 584
"made" "a" 584
"how" "do" 584
"top" "of" 584
"and" "there" 584
"to" "learn" 583
"the" "good" 582
"only" "one" 582
"in" "front" 581
"me" "know" 581
"for" "those" 580
"miss" "you" 580
"against" "the" 580
"today" "is" 579
"i'm" "sure" 579
"i" "always" 579
"the" "old" 579
"good" "to" 578
"the" "great" 576
"for" "their" 576
"not" "just" 575
"that" "one" 575
"interested" "in" 573
"the" "road" 572
"would" "love" 572
"the" "morning" 571
"it's" "been" 569
"be" "on" 568
"in" "it" 568
"and" "her" 567
"made" "it" 567
"to" "that" 567
"to" "him" 567
"them" "and" 567
"and" "your" 566
"happy" "to" 566
"about" "how" 566
"so" "you" 565
"it" "seems" 564
"because" "they" 564
"my" "friends" 563
"no" "longer" 563
"take" "the" 563
"got" "the" 561
"at" "work" 560
"a" "whole" 560
"less" "than" 559
"since" "i" 559
"as" "if" 559
"to" "their" 558
"to" "show" 558
"did" "i" 557
"so" "excited" 556
"who" "have" 556
"to" "stay" 555
"to" "create" 554
"the" "sun" 552
"just" "like" 552
"thinking" "about" 551
"no" "matter" 551
"you" "love" 551
"i" "believe" 550
"time" "in" 549
"a" "chance" 549
"like" "you" 549
"they" "don't" 549
"may" "have" 549
"and" "some" 549
"on" "and" 548
"much" "as" 547
"things" "that" 547
"a" "friend" 547
"it" "doesn't" 546
"who" "has" 546
"long" "time" 546
"but" "if" 546
"amount" "of" 545
"between" "the" 544
"and" "when" 543
"them" "in" 543
"close" "to" 542
"you" "may" 541
"see" "what" 541
"i" "wanna" 540
"who" "was" 540
"for" "them" 539
"and" "their" 539
"the" "idea" 538
"they" "had" 537
"are" "all" 536
"and" "will" 536
"sure" "to" 535
"am" "not" 535
"how" "you" 534
"the" "country" 533
"to" "change" 533
"with" "their" 533
"for" "following" 533
"when" "she" 533
"we" "don't" 533
"the" "weekend" 532
"people" "in" 532
"a" "real" 532
"just" "as" 532
"until" "the" 530
"i" "find" 529
"that" "in" 529
"made" "me" 528
"since" "the" 527
"much" "of" 526
"while" "i" 526
"said" "i" 525
"i" "couldn't" 525
"a" "bad" 524
"me" "too" 524
"to" "pay" 524
"a" "wonderful" 523
